               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099698,            0.041091,            0.039339,             0.62331,             0.30972,              0.1396,            0.060379,            0.065016,            0.025179,            0.019438,            0.070455,           0.0032828,           0.0032828
                   1,            0.073784,            0.036433,             0.01884,             0.68039,             0.29101,             0.26086,             0.13021,            0.060026,            0.016647,           0.0086752,            0.040433,           0.0065943,           0.0065943
                   2,            0.072486,            0.028329,            0.016003,             0.26627,             0.85383,             0.42187,             0.26495,            0.052528,             0.01247,           0.0089386,            0.010389,           0.0098838,           0.0098838
                   3,            0.065406,            0.024601,            0.015107,             0.29396,             0.90442,             0.47203,             0.28367,             0.05107,             0.01092,           0.0083223,            0.009901,            0.009901,            0.009901
                   4,            0.059188,            0.021346,             0.01425,              0.2916,             0.90018,              0.5272,             0.34018,            0.044288,            0.009962,           0.0079881,            0.009901,            0.009901,            0.009901
                   5,            0.054946,            0.021035,            0.014198,             0.34066,              0.9081,             0.63388,             0.36764,            0.041431,           0.0093457,           0.0079451,            0.009868,            0.009868,            0.009868
                   6,            0.050317,            0.019799,             0.01367,             0.32996,             0.93344,             0.66175,             0.47722,            0.046921,           0.0089579,            0.007533,            0.009835,            0.009835,            0.009835
                   7,            0.046748,            0.019773,            0.013093,             0.56594,             0.79002,              0.7613,              0.5319,            0.034111,           0.0088112,           0.0072141,            0.009802,            0.009802,            0.009802
                   8,            0.046084,            0.018931,            0.011736,             0.61649,             0.85835,              0.7643,             0.59811,            0.040378,           0.0085523,           0.0075176,            0.009769,            0.009769,            0.009769
                   9,            0.044094,            0.019586,            0.011688,             0.55286,             0.84983,             0.80551,             0.60206,            0.034107,           0.0094237,           0.0057096,            0.009736,            0.009736,            0.009736
                  10,            0.043822,            0.019345,            0.010362,             0.62546,             0.85753,             0.82199,              0.6303,            0.031091,           0.0092079,           0.0052184,            0.009703,            0.009703,            0.009703
                  11,            0.042185,            0.018864,            0.010116,             0.77048,             0.87322,             0.87291,             0.68852,            0.033799,            0.009144,           0.0049373,             0.00967,             0.00967,             0.00967
                  12,            0.041529,            0.019143,            0.009565,             0.83809,             0.82702,               0.888,             0.62427,            0.035834,           0.0085946,           0.0042023,            0.009637,            0.009637,            0.009637
                  13,            0.040814,            0.017699,           0.0093893,             0.84423,             0.84971,             0.91562,             0.70134,            0.031923,           0.0084033,           0.0037916,            0.009604,            0.009604,            0.009604
                  14,            0.040444,            0.017314,           0.0088725,             0.85745,             0.89038,             0.94249,             0.67811,             0.03344,           0.0087143,           0.0038275,            0.009571,            0.009571,            0.009571
                  15,            0.038899,            0.017842,           0.0084128,             0.91935,              0.8656,             0.95605,             0.68172,            0.032072,           0.0085126,           0.0028744,            0.009538,            0.009538,            0.009538
                  16,            0.038602,            0.017819,           0.0077207,             0.86128,             0.96135,              0.9386,             0.60224,            0.034292,           0.0086458,           0.0028281,            0.009505,            0.009505,            0.009505
                  17,            0.038093,             0.01711,            0.007694,             0.95586,             0.97263,             0.98357,             0.62434,            0.032628,           0.0084161,           0.0027332,            0.009472,            0.009472,            0.009472
                  18,            0.038615,            0.017655,           0.0071606,             0.84565,              0.8496,             0.94321,             0.74179,             0.02965,           0.0086085,           0.0033203,            0.009439,            0.009439,            0.009439
